Benice;Martin;Žilinský kraj;49.06651;18.92399
Benkovce;Vranov nad Topľou;Prešovský kraj;48.95091;21.709547
Beňadiková;Liptovský Mikuláš;Žilinský kraj;49.075635;19.680481
Beňadikovce;Svidník;Prešovský kraj;49.231094;21.547527
Beňadovo;Námestovo;Žilinský kraj;49.431953;19.342263
Beňatina;Sobrance;Košický kraj;48.808836;22.32639
Beňuš;Brezno;Banskobystrický kraj;48.828773;19.761602
Bernolákovo;Senec;Bratislavský kraj;48.200676;17.301862
Bertotovce;Prešov;Prešovský kraj;49.021585;21.024231
Beša;Levice;Nitriansky kraj;48.143418;18.400818
Beša;Michalovce;Košický kraj;48.53558;21.951393
Bešeňov;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Bešeňová;Ružomberok;Žilinský kraj;49.100148;19.439759
Betlanovce;Spišská Nová Ves;Košický kraj;48.981169;20.389766
Betliar;Rožňava;Košický kraj;48.702745;20.508053
Bežovce;Sobrance;Košický kraj;48.628751;22.153537
Bidovce;Košice-okolie;Košický kraj;48.736219;21.439483
Biel;Trebišov;Košický kraj;48.62858;21.71954
Bielovce;Levice;Nitriansky kraj;48.21563;18.60705
Biely Kostol;Trnava;Trnavský kraj;48.367549;17.530364
Bijacovce;Levoča;Prešovský kraj;49.023779;20.799403
Biskupice;Lučenec;Banskobystrický kraj;48.33249;19.66708
Biskupová;Topoľčany;Nitriansky kraj;48.56362;18.16712
Bitarová;Žilina;Žilinský kraj;49.208435;18.671813
Bílkove Humence;Senica;Trnavský kraj;48.585681;17.238109
Bíňa;Nové Zámky;Nitriansky kraj;47.919966;18.641198
Bíňovce;Trnava;Trnavský kraj;48.504197;17.480693
Blahová;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Blatná na Ostrove;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Blatná Polianka;Sobrance;Košický kraj;48.689523;22.105923
Blatné;Senec;Bratislavský kraj;48.266605;17.419186
Blatné Remety;Sobrance;Košický kraj;48.708097;22.10409
Blatné Revištia;Sobrance;Košický kraj;48.73828;22.079539
Blatnica;Martin;Žilinský kraj;49.06651;18.92399
Blažice;Košice-okolie;Košický kraj;48.667154;21.41057
Blažovce;Turčianske Teplice;Žilinský kraj;48.940068;18.84427
Blesovce;Topoľčany;Nitriansky kraj;48.559396;18.036895
Blhovce;Rimavská Sobota;Banskobystrický kraj;48.38284;20.0224
Bobot;Trenčín;Trenčiansky kraj;48.806023;18.191368
Bobrov;Námestovo;Žilinský kraj;49.428655;19.541239
Bobrovček;Liptovský Mikuláš;Žilinský kraj;49.142277;19.602456
Bobrovec;Liptovský Mikuláš;Žilinský kraj;49.25;19.783333
Bobrovník;Liptovský Mikuláš;Žilinský kraj;49.116183;19.476769
Bočiar;Košice-okolie;Košický kraj;48.590975;21.235365
Bodíky;Dunajská Streda;Trnavský kraj;47.923155;17.459527
Bodiná;Považská Bystrica;Trenčiansky kraj;49.108113;18.564362
Bodorová;Turčianske Teplice;Žilinský kraj;48.904758;18.849568
Bodovce;Sabinov;Prešovský kraj;49.112277;21.176569
Bodružal;Svidník;Prešovský kraj;49.30819;21.5703
Bodza;Komárno;Nitriansky kraj;47.76667;18.13333
Bodzianske Lúky;Komárno;Nitriansky kraj;47.76667;18.13333
Bogliarka;Bardejov;Prešovský kraj;49.279859;21.150952
Bohdanovce;Košice-okolie;Košický kraj;48.656072;21.400945
Bohdanovce nad Trnavou;Trnava;Trnavský kraj;48.429956;17.544697
Boheľov;Dunajská Streda;Trnavský kraj;47.918616;17.692343
Bohunice;Ilava;Trenčiansky kraj;48.331061;18.751954
Bohunice;Levice;Nitriansky kraj;48.331061;18.751954
Bohúňovo;Rožňava;Košický kraj;48.66008;20.53758
Bojná;Topoľčany;Nitriansky kraj;48.575205;18.055121
Bojnice;Prievidza;Trenčiansky kraj;48.785112;18.586402
Bojničky;Hlohovec;Trnavský kraj;48.390057;17.797809
Boldog;Senec;Bratislavský kraj;48.21951;17.40043
Boleráz;Trnava;Trnavský kraj;48.46808;17.49478
Bolešov;Ilava;Trenčiansky kraj;48.9873;18.155087
Boliarov;Košice-okolie;Košický kraj;48.802683;21.432512
Boľ;Trebišov;Košický kraj;48.472774;21.944456
Boľkovce;Lučenec;Banskobystrický kraj;48.337201;19.770006
Borcová;Turčianske Teplice;Žilinský kraj;48.928784;18.83927
Borčany;Bánovce nad Bebravou;Trenčiansky kraj;48.658761;18.219871
Borčice;Ilava;Trenčiansky kraj;48.978154;18.141481
Borinka;Malacky;Bratislavský kraj;48.261768;17.085292
Borová;Trnava;Trnavský kraj;48.387201;17.445231
Borovce;Piešťany;Trnavský kraj;48.572502;17.745558
